,Response
2582,"In 2021, the top 3 suppliers for France's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 119891001906.00 US$
Supplier 2: Belgium, Total Trade Value: 76280896085.00 US$
Supplier 3: Netherlands, Total Trade Value: 63547976320.00 US$"
2583,"In 2020, the top 3 suppliers for Bahrain's imports, based on trade flow code 1, are as follows:
Supplier 1: Saudi Arabia, Total Trade Value: 3712301784.00 US$
Supplier 2: China, Total Trade Value: 1751019822.00 US$
Supplier 3: Australia, Total Trade Value: 878065779.00 US$"
2584,"In 2021, the top 3 suppliers for Central African Republic's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 45530922.00 US$
Supplier 2: France, Total Trade Value: 40598476.00 US$
Supplier 3: India, Total Trade Value: 21130596.00 US$"
2585,"In 2020, the top 3 suppliers for Gabon's imports, based on trade flow code 1, are as follows:
Supplier 1: France, Total Trade Value: 456361065.00 US$
Supplier 2: China, Total Trade Value: 415439119.00 US$
Supplier 3: Congo, Rep., Total Trade Value: 226794849.00 US$"
2586,"In 2021, the top 3 suppliers for Burkina Faso's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 654711877.00 US$
Supplier 2: Cote d'Ivoire, Total Trade Value: 398128221.00 US$
Supplier 3: France, Total Trade Value: 367910944.00 US$"
2587,"In 2022, the top 3 suppliers for Argentina's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 8657634021.00 US$
Supplier 2: Brazil, Total Trade Value: 8020881982.00 US$
Supplier 3: United States, Total Trade Value: 5215226036.00 US$"
2588,"In 2020, the top 3 suppliers for New Zealand's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 8368485644.00 US$
Supplier 2: Australia, Total Trade Value: 4482352948.00 US$
Supplier 3: United States, Total Trade Value: 3590752388.00 US$"
2589,"In 2020, the top 3 suppliers for Sri Lanka's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 3581769754.00 US$
Supplier 2: India, Total Trade Value: 3006128802.00 US$
Supplier 3: United Arab Emirates, Total Trade Value: 888995604.00 US$"
2590,"In 2021, the top 3 suppliers for United States's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 541531352242.00 US$
Supplier 2: Mexico, Total Trade Value: 388357522055.00 US$
Supplier 3: Canada, Total Trade Value: 363904687514.00 US$"
2591,"In 2021, the top 3 suppliers for Greece's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 8116334780.00 US$
Supplier 2: Italy, Total Trade Value: 6087443400.00 US$
Supplier 3: China, Total Trade Value: 5924660111.00 US$"
2592,"In 2020, the top 3 suppliers for Sweden's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 26978658554.00 US$
Supplier 2: Netherlands, Total Trade Value: 14568650633.00 US$
Supplier 3: Norway, Total Trade Value: 13481433271.00 US$"
2593,"In 2021, the top 3 suppliers for Antigua and Barbuda's imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 556321508.00 US$
Supplier 2: Poland, Total Trade Value: 283900945.00 US$
Supplier 3: China, Total Trade Value: 110255019.00 US$"
2594,"In 2021, the top 3 suppliers for Wallis and Futuna Isds's imports, based on trade flow code 1, are as follows:
Supplier 1: France, Total Trade Value: 21168530.00 US$
Supplier 2: Fiji, Total Trade Value: 10293698.00 US$
Supplier 3: New Zealand, Total Trade Value: 9561589.00 US$"
2595,"In 2020, the top 3 suppliers for United Arab Emirates's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 39392751784.00 US$
Supplier 2: Not updated, Total Trade Value: 33122696084.00 US$
Supplier 3: United States, Total Trade Value: 16521865034.00 US$"
2596,"In 2021, the top 3 suppliers for Latvia's imports, based on trade flow code 1, are as follows:
Supplier 1: Lithuania, Total Trade Value: 3975192411.00 US$
Supplier 2: Germany, Total Trade Value: 2430926573.00 US$
Supplier 3: Poland, Total Trade Value: 2214621635.00 US$"
2597,"In 2021, the top 3 suppliers for Peru's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 14611639150.00 US$
Supplier 2: United States, Total Trade Value: 9562257025.00 US$
Supplier 3: Brazil, Total Trade Value: 3430909707.00 US$"
2598,"In 2020, the top 3 suppliers for Madagascar's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 818419719.00 US$
Supplier 2: India, Total Trade Value: 276167813.00 US$
Supplier 3: France, Total Trade Value: 232185323.00 US$"
2599,"In 2020, the top 3 suppliers for Cambodia's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 7098204138.00 US$
Supplier 2: Thailand, Total Trade Value: 2868030706.00 US$
Supplier 3: Vietnam, Total Trade Value: 2655997513.00 US$"
2600,"In 2020, the top 3 suppliers for Belarus's imports, based on trade flow code 1, are as follows:
Supplier 1: Russian Federation, Total Trade Value: 16253366700.00 US$
Supplier 2: China, Total Trade Value: 3621118200.00 US$
Supplier 3: Germany, Total Trade Value: 1680083600.00 US$"
2601,"In 2020, the top 3 suppliers for Kyrgyz Republic's imports, based on trade flow code 1, are as follows:
Supplier 1: Russian Federation, Total Trade Value: 1089836020.00 US$
Supplier 2: China, Total Trade Value: 736518932.00 US$
Supplier 3: Kazakhstan, Total Trade Value: 434670501.00 US$"
2602,"In 2020, the top 3 suppliers for Antarctica's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 13904991.00 US$
Supplier 2: Australia, Total Trade Value: 5092094.00 US$
Supplier 3: Brazil, Total Trade Value: 3108194.00 US$"
2603,"In 2021, the top 3 suppliers for Madagascar's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 996233322.00 US$
Supplier 2: India, Total Trade Value: 390433427.00 US$
Supplier 3: Oman, Total Trade Value: 387560188.00 US$"
2604,"In 2021, the top 3 suppliers for Ireland's imports, based on trade flow code 1, are as follows:
Supplier 1: United Kingdom, Total Trade Value: 23070663089.00 US$
Supplier 2: United States, Total Trade Value: 21435996743.00 US$
Supplier 3: France, Total Trade Value: 12200181671.00 US$"
2605,"In 2020, the top 3 suppliers for Ethiopia's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 4157289796.00 US$
Supplier 2: India, Total Trade Value: 1484657708.00 US$
Supplier 3: Turkey, Total Trade Value: 800813700.00 US$"
2606,"In 2022, the top 3 suppliers for Malta's imports, based on trade flow code 1, are as follows:
Supplier 1: Italy, Total Trade Value: 1758497116.00 US$
Supplier 2: Germany, Total Trade Value: 1595455898.00 US$
Supplier 3: Turkey, Total Trade Value: 790627598.00 US$"
2607,"In 2021, the top 3 suppliers for Thailand's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 66426546017.00 US$
Supplier 2: Japan, Total Trade Value: 35572360335.00 US$
Supplier 3: United States, Total Trade Value: 14575599460.00 US$"
2608,"In 2021, the top 3 suppliers for Nepal's imports, based on trade flow code 1, are as follows:
Supplier 1: India, Total Trade Value: 9583623947.00 US$
Supplier 2: China, Total Trade Value: 2383292883.00 US$
Supplier 3: Argentina, Total Trade Value: 451686698.00 US$"
2609,"In 2020, the top 3 suppliers for Iraq's imports, based on trade flow code 1, are as follows:
Supplier 1: United Arab Emirates, Total Trade Value: 13111166248.00 US$
Supplier 2: China, Total Trade Value: 10922539877.00 US$
Supplier 3: Turkey, Total Trade Value: 9142515277.00 US$"
2610,"In 2021, the top 3 suppliers for Brazil's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 53464016770.00 US$
Supplier 2: United States, Total Trade Value: 41502926649.00 US$
Supplier 3: Argentina, Total Trade Value: 12412751643.00 US$"
2611,"In 2021, the top 3 suppliers for Indonesia's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 56227202302.00 US$
Supplier 2: Singapore, Total Trade Value: 15451683940.00 US$
Supplier 3: Japan, Total Trade Value: 14644286874.00 US$"
2612,"In 2022, the top 3 suppliers for Wallis and Futuna Isds's imports, based on trade flow code 1, are as follows:
Supplier 1: EU-27, Total Trade Value: 16633912.00 US$
Supplier 2: Fiji, Total Trade Value: 12144936.00 US$
Supplier 3: New Zealand, Total Trade Value: 4009771.00 US$"
2613,"In 2022, the top 3 suppliers for Spain's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 43115966435.00 US$
Supplier 2: Germany, Total Trade Value: 36466460714.00 US$
Supplier 3: France, Total Trade Value: 34082312845.00 US$"
2614,"In 2021, the top 3 suppliers for Sri Lanka's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 5097725737.00 US$
Supplier 2: India, Total Trade Value: 4741096123.00 US$
Supplier 3: United Arab Emirates, Total Trade Value: 1409072170.00 US$"
2615,"In 2020, the top 3 suppliers for Belarus's imports, based on trade flow code 1, are as follows:
Supplier 1: Russian Federation, Total Trade Value: 16253366700.00 US$
Supplier 2: China, Total Trade Value: 3621118200.00 US$
Supplier 3: Germany, Total Trade Value: 1680083600.00 US$"
2616,"In 2020, the top 3 suppliers for Singapore's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 47367506513.00 US$
Supplier 2: Malaysia, Total Trade Value: 41706098819.00 US$
Supplier 3: Not updated, Total Trade Value: 36283393035.00 US$"
2617,"In 2021, the top 3 suppliers for Congo, Dem. Rep.'s imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 2756859964.00 US$
Supplier 2: Zambia, Total Trade Value: 1113890397.00 US$
Supplier 3: South Africa, Total Trade Value: 1074654547.00 US$"
2618,"In 2020, the top 3 suppliers for Latvia's imports, based on trade flow code 1, are as follows:
Supplier 1: Lithuania, Total Trade Value: 3103295662.00 US$
Supplier 2: Germany, Total Trade Value: 1806789386.00 US$
Supplier 3: Poland, Total Trade Value: 1761816553.00 US$"
2619,"In 2020, the top 3 suppliers for Kenya's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 3394225096.00 US$
Supplier 2: India, Total Trade Value: 1771361791.00 US$
Supplier 3: United Arab Emirates, Total Trade Value: 866789248.00 US$"
2620,"In 2020, the top 3 suppliers for United States's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 457164215509.00 US$
Supplier 2: Mexico, Total Trade Value: 328861803529.00 US$
Supplier 3: Canada, Total Trade Value: 276195545882.00 US$"
2621,"In 2022, the top 3 suppliers for Saudi Arabia's imports, based on trade flow code 1, are as follows:
Supplier 1: EU-27, Total Trade Value: 26427964099.00 US$
Supplier 2: United States, Total Trade Value: 9228896798.00 US$
Supplier 3: India, Total Trade Value: 8399334359.00 US$"
2622,"In 2021, the top 3 suppliers for Egypt, Arab Rep.'s imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 10009613212.00 US$
Supplier 2: Not updated, Total Trade Value: 7998991798.00 US$
Supplier 3: Saudi Arabia, Total Trade Value: 6251338875.00 US$"
2623,"In 2022, the top 3 suppliers for Argentina's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 8657634021.00 US$
Supplier 2: Brazil, Total Trade Value: 8020881982.00 US$
Supplier 3: United States, Total Trade Value: 5215226036.00 US$"
2624,"In 2021, the top 3 suppliers for Dominica's imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 522810555.00 US$
Supplier 2: China, Total Trade Value: 34586830.00 US$
Supplier 3: Trinidad and Tobago, Total Trade Value: 28177275.00 US$"
2625,"In 2022, the top 3 suppliers for Sweden's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 25523037476.00 US$
Supplier 2: Norway, Total Trade Value: 19619687024.00 US$
Supplier 3: Netherlands, Total Trade Value: 17521972284.00 US$"
2626,"In 2022, the top 3 suppliers for Mauritius's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 772133713.00 US$
Supplier 2: United Arab Emirates, Total Trade Value: 491532929.00 US$
Supplier 3: India, Total Trade Value: 486390371.00 US$"
2627,"In 2022, the top 3 suppliers for Kenya's imports, based on trade flow code 1, are as follows:
Supplier 1: India, Total Trade Value: 2422134408.00 US$
Supplier 2: China, Total Trade Value: 1724562488.00 US$
Supplier 3: EU-27, Total Trade Value: 1719888468.00 US$"
2628,"In 2022, the top 3 suppliers for Portugal's imports, based on trade flow code 1, are as follows:
Supplier 1: Spain, Total Trade Value: 33646501255.00 US$
Supplier 2: Germany, Total Trade Value: 11779167692.00 US$
Supplier 3: France, Total Trade Value: 6265023883.00 US$"
2629,"In 2020, the top 3 suppliers for Gabon's imports, based on trade flow code 1, are as follows:
Supplier 1: France, Total Trade Value: 456361065.00 US$
Supplier 2: China, Total Trade Value: 415439119.00 US$
Supplier 3: Congo, Rep., Total Trade Value: 226794849.00 US$"
2630,"In 2021, the top 3 suppliers for Mali's imports, based on trade flow code 1, are as follows:
Supplier 1: Senegal, Total Trade Value: 1050523676.00 US$
Supplier 2: China, Total Trade Value: 594885214.00 US$
Supplier 3: France, Total Trade Value: 481209433.00 US$"
2631,"In 2020, the top 3 suppliers for Tunisia's imports, based on trade flow code 1, are as follows:
Supplier 1: Italy, Total Trade Value: 2617717200.00 US$
Supplier 2: France, Total Trade Value: 2383391732.00 US$
Supplier 3: China, Total Trade Value: 1973323699.00 US$"
2632,"In 2021, the top 3 suppliers for Madagascar's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 996233322.00 US$
Supplier 2: India, Total Trade Value: 390433427.00 US$
Supplier 3: Oman, Total Trade Value: 387560188.00 US$"
2633,"In 2021, the top 3 suppliers for Latvia's imports, based on trade flow code 1, are as follows:
Supplier 1: Lithuania, Total Trade Value: 3975192411.00 US$
Supplier 2: Germany, Total Trade Value: 2430926573.00 US$
Supplier 3: Poland, Total Trade Value: 2214621635.00 US$"
2634,"In 2022, the top 3 suppliers for Sweden's imports, based on trade flow code 1, are as follows:
Supplier 1: Germany, Total Trade Value: 25523037476.00 US$
Supplier 2: Norway, Total Trade Value: 19619687024.00 US$
Supplier 3: Netherlands, Total Trade Value: 17521972284.00 US$"
2635,"In 2021, the top 3 suppliers for Guatemala's imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 8731853450.00 US$
Supplier 2: China, Total Trade Value: 4147211224.00 US$
Supplier 3: Mexico, Total Trade Value: 2753495489.00 US$"
2636,"In 2022, the top 3 suppliers for Portugal's imports, based on trade flow code 1, are as follows:
Supplier 1: Spain, Total Trade Value: 33646501255.00 US$
Supplier 2: Germany, Total Trade Value: 11779167692.00 US$
Supplier 3: France, Total Trade Value: 6265023883.00 US$"
2637,"In 2022, the top 3 suppliers for Belgium's imports, based on trade flow code 1, are as follows:
Supplier 1: Netherlands, Total Trade Value: 80679094522.00 US$
Supplier 2: Germany, Total Trade Value: 50500861149.00 US$
Supplier 3: France, Total Trade Value: 39995937098.00 US$"
